"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.141460333E0,-1.211060103E0,-1.684737781E0,-2.395207227E0,3.168915528E0
1.151540333E0,-1.493456646E0,-1.509718922E0,-2.219718837E0,3.071940053E0
1.161619333E0,-1.636493574E0,-1.139667354E0,-4.823330185E0,5.219335874E0
1.171699333E0,-1.791269372E0,-1.849028753E0,-3.815995846E0,4.603192109E0
1.181779333E0,-2.007246222E0,-3.060552540E0,-3.405611354E-1,3.675867399E0
1.191859333E0,-2.316951601E0,-3.654463005E0,6.613347083E-1,4.377296903E0
1.201939333E0,-3.098681649E0,-4.385982428E0,4.190646833E-1,5.386490975E0
1.212018333E0,-3.807062470E0,-3.954421660E0,-4.309631824E-1,5.506078875E0
1.222098333E0,-4.606956308E0,-1.227998317E0,8.085798776E-1,4.835889547E0
1.232178333E0,-4.868693469E0,1.799298184E0,3.325242544E0,6.164323809E0
1.242258333E0,-4.856571606E0,3.587632254E0,3.564560895E0,7.011667942E0
1.252338333E0,-4.641262507E0,4.041167443E0,2.926019218E0,6.814245404E0
1.262417333E0,-4.128679796E0,3.944375558E0,2.247124736E0,6.136258223E0
1.272497333E0,-3.253848626E0,3.813353489E0,1.050604320E0,5.121812682E0
1.282577333E0,-1.778300833E0,3.975321947E0,-3.970609896E-1,4.373007645E0
1.292657333E0,1.756181985E-1,4.033801121E0,-1.126913919E0,4.191936094E0
1.302737333E0,1.708285688E0,3.745973099E0,-3.175517571E-1,4.129333308E0
1.312816333E0,2.346919166E0,3.204285287E0,6.515634263E-1,4.024923437E0
1.322896333E0,2.367410148E0,2.016274323E0,8.239345928E-1,3.216964590E0
1.332976333E0,1.936087947E0,5.422444671E-1,7.487511671E-1,2.145482209E0
1.343056333E0,1.291085097E0,-5.662899721E-1,6.823735750E-1,1.566275440E0
1.353136333E0,6.888441038E-1,-9.186414331E-1,8.300918571E-1,1.416848889E0
1.363215333E0,2.254393995E-1,-7.907142949E-1,9.371097176E-1,1.246686264E0
1.373295333E0,-1.714520574E-1,-3.145626605E-1,7.646417065E-1,8.444065458E-1
1.383375333E0,-4.162194282E-1,3.337707639E-1,4.502063692E-1,6.980883254E-1
1.393455333E0,-5.321562660E-1,6.979271686E-1,4.874706745E-2,8.790158706E-1
1.403535333E0,-6.340282112E-1,9.635474646E-1,-3.166661963E-1,1.196115784E0
1.413614333E0,-5.846227473E-1,1.116738667E0,-4.882097626E-1,1.351753595E0
1.423694333E0,-5.042024821E-1,7.475051254E-1,-7.801586089E-1,1.192321899E0
1.433774333E0,-2.846769565E-1,1.625251132E-1,-8.021198738E-1,8.665169784E-1
1.443854333E0,5.132159650E-2,-4.467565119E-1,-3.201607847E-1,5.520219337E-1
1.453934333E0,3.393601173E-1,-9.940518039E-1,1.359884021E-1,1.059149245E0
1.464013333E0,6.235008842E-1,-1.383453562E0,2.601192355E-1,1.539597067E0
1.474093333E0,7.998476458E-1,-1.543177859E0,5.532787478E-1,1.824081011E0
1.484173333E0,1.000273241E0,-1.317572399E0,7.676210091E-1,1.823673654E0
1.494253333E0,1.305842299E0,-9.524804395E-1,9.241138422E-1,1.861834980E0
1.504333333E0,1.617633964E0,-7.465684015E-1,9.945879936E-1,2.040418903E0
1.514412333E0,1.837067689E0,-6.434901756E-1,1.049249227E0,2.211294019E0
1.524492333E0,1.888768770E0,-5.956120044E-1,1.110079274E0,2.270347356E0
1.534572333E0,1.866149985E0,-3.829505253E-1,1.183413590E0,2.242684685E0
1.544652333E0,1.767073594E0,-2.364362580E-1,1.262369421E0,2.184497137E0
1.554732333E0,1.666839454E0,-2.741964072E-1,1.208003764E0,2.076730730E0
1.564811333E0,1.632471859E0,-3.856022376E-1,1.116101321E0,2.014779297E0
1.574891333E0,1.706045619E0,-4.999398619E-1,1.083812119E0,2.082109562E0
1.584971333E0,1.921607902E0,-8.437883019E-1,1.048821504E0,2.346184599E0
1.595047417E0,2.023399156E0,-1.519521194E0,1.351822757E0,2.868887166E0
1.605127417E0,2.372364494E0,-1.670720835E0,1.464631627E0,3.250318016E0
1.615206417E0,2.895407290E0,-1.932043428E0,1.381024629E0,3.744783599E0
1.625286417E0,3.332030577E0,-2.275435200E0,1.190398674E0,4.206790002E0
1.635366417E0,3.401587885E0,-2.462544932E0,8.475144401E-1,4.284064473E0
1.645446417E0,3.065689904E0,-2.546830207E0,3.396279198E-1,4.000018227E0
1.655526417E0,2.641753905E0,-2.618029413E0,-3.104155228E-1,3.732197677E0
1.665605417E0,2.246411961E0,-2.796951288E0,-1.192364801E0,3.780348796E0
1.675685417E0,1.845997556E0,-3.120323948E0,-2.056228348E0,4.167997546E0
1.685765417E0,1.165752953E0,-3.366131539E0,-2.479492794E0,4.340242620E0
1.695845417E0,5.508778811E-2,-3.293807328E0,-2.423608030E0,4.089752714E0
1.705925417E0,-1.174857652E0,-2.747723579E0,-2.412025866E0,3.840331255E0
1.716004417E0,-2.483427093E0,-1.828787447E0,-2.523667924E0,3.985068812E0
1.726084417E0,-3.803450060E0,-8.854836273E-1,-2.639771407E0,4.713672315E0
1.736164417E0,-4.463938676E0,1.196585906E-1,-2.388035909E0,5.063969015E0
1.746244417E0,-4.135080158E0,1.006796395E0,-2.077543496E0,4.735896311E0
1.756324417E0,-3.219162943E0,1.928992935E0,-2.586983329E0,4.558125332E0
1.766403417E0,-1.825996571E0,2.291348398E0,-3.709282991E0,4.726872249E0
1.776483417E0,-4.973945689E-1,1.942257929E0,-4.317235251E0,4.760072209E0
1.786563417E0,5.956008947E-1,9.529640043E-1,-4.306005089E0,4.450231527E0
1.796643417E0,1.393216658E0,-1.757383588E-1,-4.414887261E0,4.632835650E0
1.806723417E0,1.842448297E0,-4.870464590E-1,-4.794005814E0,5.158907028E0
1.816803417E0,1.696507641E0,-1.146083504E-1,-4.841576421E0,5.131484726E0
1.826882417E0,7.089719743E-1,5.090141559E-1,-4.024346173E0,4.117899803E0
1.836962417E0,-1.088493692E0,1.352625287E0,-2.385883257E0,2.950737637E0
1.847042417E0,-2.319988645E0,1.321731816E0,-6.066632420E-1,2.738131223E0
1.857122417E0,-2.457111114E0,5.129390994E-1,1.340325377E0,2.845518171E0
1.867202417E0,-2.004806179E0,3.226338646E-1,2.635440667E0,3.326993829E0
1.877281417E0,-1.103038056E0,1.167846841E0,1.870410267E0,2.465561551E0
1.887361417E0,6.474814850E-1,1.998893767E0,2.004670232E0,2.904050844E0
1.897441417E0,2.886021339E0,2.623020596E0,2.877930547E0,4.846838191E0
1.907521417E0,3.914518506E0,4.254516847E0,5.194178143E-1,5.804667398E0
1.917601417E0,3.323020018E0,5.180778664E0,-1.549374738E0,6.346927736E0
1.927680417E0,1.711794602E0,4.339486538E0,4.364817846E-1,4.685285533E0
1.937760417E0,4.259907103E-1,3.329022769E0,3.620719601E0,4.936949575E0
1.947840417E0,-2.940430266E-1,2.473580967E0,4.050344648E0,4.755034791E0
1.957920417E0,-9.303458047E-1,1.925391928E0,3.803008595E0,4.362975105E0
1.968000417E0,-1.545813199E0,1.606971274E0,4.389632260E0,4.923491292E0
1.978079417E0,-1.855545475E0,1.222568593E0,5.138318523E0,5.598217593E0
1.988159417E0,-2.024687297E0,4.768243566E-1,4.576575930E0,5.027103278E0
1.998239417E0,-2.190593855E0,-2.556943551E-1,3.172634894E0,3.863896118E0
2.008319417E0,-2.240577609E0,-8.589092016E-1,1.654443941E0,2.914635105E0
2.018399417E0,-2.610271912E0,-1.048967684E0,6.698079085E-1,2.891797934E0
2.028478417E0,-2.800990545E0,-8.306849840E-1,7.410290417E-1,3.014085204E0
2.038558417E0,-2.288853976E0,-5.571721163E-1,1.338357789E0,2.709334763E0
2.048638417E0,-1.083738152E0,-1.475571182E-1,1.511846139E0,1.865995775E0
2.058718417E0,8.146504569E-1,1.707419130E-1,1.546341788E0,1.756126730E0
2.068798417E0,2.124083531E0,7.772849947E-1,1.768210877E0,2.870970658E0
