"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.283437583E0,-1.140854339E0,6.657090104E-1,-7.032949126E-1,1.496442730E0
1.293517583E0,-1.130382560E0,5.557491964E-1,-7.942717409E-1,1.489123736E0
1.303598583E0,-1.141263936E0,3.114221209E-1,-9.261381483E-1,1.502397744E0
1.313679583E0,-1.332785392E0,5.641569078E-2,-1.123019162E0,1.743752181E0
1.323760583E0,-1.420150688E0,-1.543436891E-1,-1.154989398E0,1.837022172E0
1.333841583E0,-1.319060808E0,-1.707696873E-1,-9.262422287E-1,1.620804851E0
1.343921583E0,-1.356745528E0,8.623473644E-2,-9.202125800E-1,1.641641267E0
1.354002583E0,-1.514300215E0,3.537851983E-1,-8.711625537E-1,1.782468318E0
1.364083583E0,-1.799737017E0,5.197046202E-1,-9.082567050E-1,2.081844487E0
1.374164583E0,-2.136444545E0,7.575494725E-1,-9.397574099E-1,2.453858286E0
1.384244583E0,-2.586360308E0,1.425192157E0,-6.693892479E-1,3.027955464E0
1.394325583E0,-2.786671883E0,1.850031551E0,-4.838804841E-2,3.345220221E0
1.404406583E0,-2.950331064E0,2.556201539E0,2.852447212E-1,3.914075145E0
1.414487583E0,-2.710305785E0,2.441578571E0,4.671687032E-1,3.677677251E0
1.424568583E0,-1.743021949E0,1.358190082E0,8.272757649E-1,2.359489565E0
1.434648583E0,-9.042555285E-1,1.051636353E0,1.730581413E-1,1.397700326E0
1.444729583E0,-3.220523590E-1,6.225822866E-1,-7.389399777E-1,1.018508084E0
1.454810583E0,1.313030282E-1,-1.622836232E-2,-1.202938174E0,1.210191760E0
1.464891583E0,4.948051295E-1,-3.626665342E-1,-1.644599130E0,1.755296394E0
1.474972583E0,8.767046177E-1,-6.254281265E-1,-2.161133244E0,2.414594837E0
1.485052583E0,7.013869661E-1,-5.722757667E-1,-1.531652412E0,1.779157762E0
1.495133583E0,2.439496377E-1,-1.240679759E-1,-5.057964331E-1,5.750950531E-1
1.505214583E0,-8.983223587E-2,3.737563634E-1,-1.300341824E-1,4.057986426E-1
1.515295583E0,-5.851718009E-1,6.928225493E-1,-6.043302029E-2,9.088901316E-1
1.525376583E0,-1.116870230E0,8.810116768E-1,-1.761619896E-1,1.433392386E0
1.535456583E0,-1.524840406E0,7.575985891E-1,-5.536156936E-1,1.790414539E0
1.545537583E0,-1.797489640E0,6.525621307E-1,-7.558293678E-1,2.056230623E0
1.555618583E0,-1.891790318E0,6.095874345E-1,-6.651412457E-1,2.095919923E0
1.565699583E0,-1.919749072E0,4.248990351E-1,-4.994552739E-1,2.028652573E0
1.575780583E0,-1.798270828E0,1.743680638E-1,-2.419531059E-1,1.822833920E0
1.585860583E0,-1.671890863E0,-2.026446140E-1,-1.815817738E-1,1.693887788E0
1.595941583E0,-1.450950896E0,-6.480603594E-1,-1.875012025E-1,1.600124193E0
1.606022583E0,-1.108257866E0,-1.142397419E0,5.173031688E-3,1.591645099E0
1.616103583E0,-7.597652748E-1,-1.755823551E0,3.314210603E-1,1.941648664E0
1.626183583E0,-4.267292136E-1,-2.466967181E0,4.546935225E-1,2.544557151E0
1.636264583E0,-1.119367576E-1,-2.933092595E0,4.007690379E-1,2.962461448E0
1.646345583E0,9.180625588E-2,-3.027936772E0,1.850279765E-1,3.034973613E0
1.656426583E0,2.536098227E-1,-2.983742931E0,-2.152316228E-2,2.994578946E0
1.666507583E0,5.798999512E-1,-2.625095773E0,5.254541874E-2,2.688898063E0
1.676587583E0,9.649168825E-1,-2.028540028E0,5.069769859E-1,2.302838444E0
1.686668583E0,1.434361176E0,-1.409100620E0,1.140756106E0,2.311770108E0
1.696749583E0,1.878696356E0,-1.139328216E0,1.680136022E0,2.765940316E0
1.706830583E0,1.878352247E0,-1.217226577E0,1.735597447E0,2.832339352E0
1.716911583E0,1.468797475E0,-1.391431503E0,1.632240017E0,2.599549023E0
1.726991583E0,1.035434596E0,-1.373706254E0,1.440356911E0,2.243617994E0
1.737072583E0,6.204419133E-1,-9.465496087E-1,1.416678611E0,1.813251945E0
1.747153583E0,1.851351267E-1,-5.807162225E-2,1.170458792E0,1.186432093E0
1.757234583E0,-1.473469108E-1,9.078714466E-1,7.664468881E-1,1.197239537E0
1.767314583E0,-2.492963317E-1,1.728013024E0,-7.858073115E-2,1.747670622E0
1.777395583E0,-2.129105705E-1,2.389207984E0,-1.182745108E0,2.674421749E0
1.787476583E0,-2.180675223E-1,2.618917605E0,-1.912233207E0,3.250064415E0
1.797557583E0,-5.872972637E-1,2.093245901E0,-1.791637162E0,2.817190125E0
1.807638583E0,-1.033761707E0,1.042132874E0,-1.439603205E0,2.056006221E0
1.817718583E0,-9.741589916E-1,-1.667146432E-1,-1.507448594E0,1.802548412E0
1.827799583E0,-6.224431229E-1,-1.122264286E0,-1.851898274E0,2.253095601E0
1.837880583E0,-2.890497968E-1,-1.788960891E0,-1.925143421E0,2.643881247E0
1.847961583E0,1.430910149E-1,-1.954875636E0,-1.714461663E0,2.604110709E0
1.858042583E0,6.810687688E-1,-1.191103556E0,-1.267266464E0,1.867765146E0
1.868122583E0,8.463423657E-1,-1.634700233E-1,-8.389772129E-1,1.202871819E0
1.878203583E0,2.495714432E-1,5.600012916E-1,-1.030751999E0,1.199306898E0
1.888284583E0,-6.172993273E-1,1.322943651E0,-1.593658041E0,2.161246010E0
1.898365583E0,-1.538309467E0,1.854797616E0,-1.495580939E0,2.836094596E0
1.908445583E0,-2.433536310E0,2.354173806E0,-8.616088611E-1,3.493794944E0
1.918526583E0,-2.712378915E0,2.433483101E0,-2.371238905E-1,3.651721117E0
1.928607583E0,-2.189133513E0,1.839470894E0,2.487135105E-1,2.870159773E0
1.938688583E0,-1.325703829E0,1.014593657E0,-2.222570524E-2,1.669546320E0
1.948769583E0,-4.619174650E-1,3.252975637E-1,-8.138382787E-1,9.907164040E-1
1.958849583E0,2.638608688E-1,-1.655539709E-1,-1.442534268E0,1.475783110E0
1.968930583E0,7.686811092E-1,-4.871888387E-1,-1.852931185E0,2.064358881E0
1.979011583E0,9.694952524E-1,-5.938192481E-1,-1.872256963E0,2.190408291E0
1.989092583E0,1.010476633E0,-4.495023644E-1,-1.733444502E0,2.056196791E0
1.999172583E0,8.395882469E-1,-3.395799726E-1,-1.389944556E0,1.658966200E0
2.009253583E0,5.504425558E-1,-3.534969306E-1,-1.022387411E0,1.213764024E0
2.019334583E0,1.352595466E-1,-3.999577367E-1,-7.050473231E-1,8.217986760E-1
2.029415583E0,-2.434897542E-1,-4.479095829E-1,-4.952194047E-1,7.107408203E-1
2.039496583E0,-3.046799889E-1,-5.457592285E-1,-5.051596713E-1,8.036599558E-1
2.049576583E0,-1.782453525E-1,-4.852978492E-1,-3.558850797E-1,6.276460770E-1
2.059657583E0,-6.187289715E-2,-4.570014185E-1,-2.820814506E-1,5.406001264E-1
2.069738583E0,9.091250896E-3,-4.410525531E-1,-1.880552262E-1,4.795568512E-1
2.079819583E0,2.485008180E-2,-4.436645043E-1,-1.433101393E-2,4.445909321E-1
2.089900583E0,-9.197962582E-3,-4.209989423E-1,6.213828765E-2,4.256593458E-1
2.099980583E0,-9.235764831E-2,-3.819722861E-1,1.510365039E-1,4.210044989E-1
2.110061583E0,-1.581423327E-1,-3.091341054E-1,3.207730613E-1,4.727242848E-1
2.120142583E0,-1.642193440E-1,-2.572868443E-1,4.866187352E-1,5.744234558E-1
2.130223583E0,-1.850292921E-2,-1.817308778E-1,7.372648235E-1,7.595576939E-1
2.140303583E0,2.978688598E-1,-2.083941811E-1,9.039064497E-1,9.742693991E-1
2.150384583E0,7.211464620E-1,-1.790633780E-1,9.342844161E-1,1.193735014E0
2.160465583E0,1.117185979E0,-1.392052478E-1,1.095310961E0,1.570728721E0
2.170546583E0,1.450278466E0,-1.479158449E-1,1.201029205E0,1.888824470E0
2.180627583E0,1.728395724E0,-5.414580166E-2,1.212293866E0,2.111856994E0
2.190707583E0,1.880677977E0,-4.956743181E-2,1.092072846E0,2.175322892E0
2.200788583E0,1.987085023E0,-2.063511640E-1,1.163856189E0,2.312065942E0
2.210869583E0,2.116219026E0,-4.330132163E-1,1.312457839E0,2.527534173E0
2.220950167E0,2.295432386E0,-6.874746859E-1,1.377279487E0,2.763789078E0
2.231030167E0,2.510419887E0,-8.912916666E-1,1.382098178E0,3.001133822E0
2.241111167E0,2.700302076E0,-9.694016969E-1,1.450386055E0,3.214808028E0
2.251192167E0,2.819724439E0,-8.122899359E-1,1.433917372E0,3.266003656E0
2.261273167E0,2.922614384E0,-5.623050946E-1,1.049232563E0,3.155748854E0
2.271354167E0,2.842834389E0,-1.297842139E-1,2.853038146E-1,2.860061114E0
2.281434167E0,2.642213789E0,6.717141008E-1,-1.201333479E-1,2.728905561E0
2.291515167E0,2.440874566E0,1.808964801E0,-2.830438292E-1,3.051284337E0
