"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.068847708E0,-8.787838876E-2,4.013828201E0,-5.558141005E-1,4.053081390E0
1.078926708E0,-6.971021265E-1,3.832154042E0,3.269108105E0,5.085117872E0
1.089006708E0,-1.294575884E0,2.167428941E0,3.579128648E0,4.379935709E0
1.099086708E0,-1.997925761E0,5.487132418E-1,2.303831180E0,3.098456337E0
1.109166708E0,-2.849603126E0,2.244804561E-1,1.318610280E0,3.147913995E0
1.119246708E0,-3.016421265E0,-4.890143394E-2,4.996574414E-1,3.057915329E0
1.129326708E0,-2.508585908E0,7.299897909E-2,-4.499502611E-1,2.549664163E0
1.139406708E0,-2.354286073E0,-3.708456194E-1,-7.110461278E-1,2.487122028E0
1.149486708E0,-1.586168928E0,-2.268781069E0,-8.015772521E-1,2.881982911E0
1.159566708E0,-1.087024579E0,-3.582684340E0,-5.855938967E-1,3.789481459E0
1.169646708E0,-1.362287811E0,-4.251366659E0,-5.107050975E-1,4.493413652E0
1.179726708E0,-1.821755877E0,-4.654860792E0,-2.778129832E-1,5.006366300E0
1.189806708E0,-2.085149846E0,-4.413820437E0,4.222262728E-1,4.899789358E0
1.199885708E0,-2.728723637E0,-4.145676482E0,1.089774817E0,5.081355659E0
1.209965708E0,-2.632659439E0,-4.597488497E0,6.410326640E-1,5.336545613E0
1.220045708E0,2.682784987E0,-6.326754579E0,-1.815152324E0,7.107737808E0
1.230125708E0,7.972049382E0,-6.476458502E0,-2.902468972E0,1.067344425E1
1.240205708E0,-8.906186521E-1,-1.341684562E0,6.863579408E-1,1.750544564E0
1.250285708E0,-4.449413900E-1,2.115426729E0,-4.824840959E-1,2.214902704E0
1.260362000E0,6.031611983E-1,3.604757579E0,-1.843042374E-1,3.659514816E0
1.270442000E0,6.219396776E-1,3.792958986E0,1.145691741E0,4.010730157E0
1.280522000E0,1.172552387E0,4.245523537E0,1.750096203E0,4.739428860E0
1.290602000E0,1.584796878E0,5.673828167E0,1.396971155E0,6.054373264E0
1.300682000E0,2.087887220E0,8.601919638E0,1.201343200E0,8.932833816E0
1.310761000E0,2.295706912E0,1.159838962E1,1.377080097E0,1.190332985E1
1.320841000E0,2.305105288E0,1.418984753E1,1.045668100E0,1.441383728E1
1.330921000E0,1.636816632E0,1.573203312E1,-1.479941793E-1,1.581764638E1
1.341001000E0,-5.321935420E-1,1.152228226E1,-2.559430372E0,1.181511330E1
1.351081000E0,-8.676114665E-1,3.691475880E-1,-3.560487725E0,3.683217674E0
1.361161000E0,-9.321148798E-2,-2.775263380E0,-1.523735282E0,3.167419205E0
1.371241000E0,4.955325231E-2,-2.203569412E0,7.265902197E-1,2.320798790E0
1.381321000E0,4.263902944E-1,-1.466194587E0,1.581108162E0,2.198053292E0
1.391401000E0,1.439135720E-1,-5.493669605E-1,1.231601372E0,1.356229004E0
1.401481000E0,1.582819350E-2,-5.414872527E-2,5.243502331E-1,5.273763202E-1
1.411561000E0,8.142730191E-2,-1.223050404E-1,3.578694785E-1,3.868584909E-1
1.421641000E0,-1.128413949E-1,1.000481987E-1,3.275621903E-1,3.606103312E-1
1.431720000E0,-1.516107005E-1,1.516247338E-1,1.517714989E-1,2.626984056E-1
1.441800000E0,6.385671124E-2,4.886167288E-2,-1.913922322E-1,2.075960722E-1
1.451880000E0,1.749088582E-1,1.657592082E-1,-6.640612650E-1,7.064322950E-1
1.461960000E0,1.444512235E-1,2.490375924E-1,-8.080185449E-1,8.577761056E-1
1.472040000E0,1.880797845E-1,2.564319813E-1,-6.966676784E-1,7.658180074E-1
1.482120000E0,1.153209798E-1,1.271295780E-1,-6.538789237E-1,6.760314377E-1
1.492200000E0,6.764263719E-2,7.552088320E-2,-6.107364124E-1,6.190944157E-1
1.502280000E0,-4.008617163E-2,7.346792579E-2,-7.007700849E-1,7.057500614E-1
1.512360000E0,-8.035645746E-2,-6.378727555E-3,-7.585844296E-1,7.628552846E-1
1.522440000E0,1.207442723E-1,-1.920126218E-1,-6.926389468E-1,7.288324477E-1
1.532520000E0,4.730113142E-1,-3.043955219E-1,-6.020977360E-1,8.239648177E-1
1.542599000E0,1.051584751E0,-5.298928088E-1,-2.422302639E-1,1.202203136E0
1.552679000E0,1.551530607E0,-7.122698039E-1,1.354887666E-1,1.712580714E0
1.562759000E0,1.962733709E0,-5.682686698E-1,1.657597929E-1,2.050055902E0
1.572839000E0,2.228876600E0,-2.856744915E-1,-6.603260636E-2,2.248079428E0
1.582919000E0,2.306130451E0,-1.465481812E-1,-3.268821591E-1,2.333787902E0
1.592999000E0,2.265298760E0,-1.869968802E-1,-4.259059256E-1,2.312561818E0
1.603079000E0,2.119781589E0,-1.531169432E-1,-4.191038597E-1,2.166233327E0
1.613159000E0,1.924022510E0,-2.652694631E-1,-4.360806656E-1,1.990577015E0
1.623239000E0,1.720642608E0,-5.499066585E-1,-5.445336521E-1,1.886670405E0
1.633319000E0,1.740372576E0,-6.162708020E-1,-7.019465446E-1,1.975200080E0
1.643399000E0,1.625034785E0,-1.056603563E-1,-9.058494794E-1,1.863455243E0
1.653478000E0,1.374872919E0,-6.646120727E-2,-1.074849799E0,1.746423410E0
1.663558000E0,1.266398737E0,-4.064499003E-1,-1.172552095E0,1.773089309E0
1.673638000E0,1.197037603E0,-5.487857473E-1,-1.039711542E0,1.677815517E0
1.683718000E0,1.185334693E0,-5.166365862E-1,-5.230620915E-1,1.394821010E0
1.693798000E0,1.080934485E0,-6.489736944E-1,-2.035778479E-1,1.277117910E0
1.703878000E0,9.192321481E-1,-5.867511338E-1,-1.680491606E-2,1.090663578E0
1.713958000E0,9.467029519E-1,-7.496674258E-1,2.091022789E-2,1.207760310E0
1.724038000E0,9.836933883E-1,-8.947877169E-1,-1.297660510E-1,1.336090180E0
1.734118000E0,1.039502504E0,-7.633990270E-1,-2.560969359E-1,1.314887512E0
1.744198000E0,1.087793488E0,-2.786777133E-1,-3.031833941E-1,1.163132027E0
1.754278000E0,1.082812903E0,2.597023290E-1,-4.349597909E-1,1.195457696E0
1.764357000E0,9.677580446E-1,7.045719445E-1,-4.820731097E-1,1.290492829E0
1.774437000E0,9.629579191E-1,8.956969589E-1,-2.526681286E-1,1.339179667E0
1.784517000E0,9.080021319E-1,1.003943539E0,-2.582820769E-1,1.378071163E0
1.794597000E0,8.891649612E-1,1.225148385E0,-4.138111062E-3,1.513809769E0
1.804677000E0,8.560675279E-1,1.546379210E0,5.883093802E-1,1.862860220E0
1.814757000E0,6.368858186E-1,1.853667349E0,8.418359166E-1,2.133165230E0
1.824837000E0,6.084469351E-1,1.629603800E0,7.145853013E-1,1.880544700E0
1.834917000E0,4.074843458E-1,1.497732714E0,4.426973748E-1,1.614071789E0
1.844997000E0,4.490149259E-1,1.319762766E0,1.674981701E-1,1.404081123E0
1.855077000E0,1.582289885E0,1.797083259E-2,-7.985191584E-2,1.584405427E0
1.865157000E0,2.767059737E0,-8.431930554E-1,-2.861687640E-2,2.892820949E0
1.875236000E0,2.720240496E0,-1.766554946E-1,4.185435137E-2,2.726291861E0
1.885316000E0,1.783439804E0,1.599517536E-1,-3.951279366E-1,1.833676140E0
1.895396000E0,5.943649395E-1,3.327071553E-1,-8.367780751E-1,1.078963058E0
1.905476000E0,-9.315878995E-2,3.989479226E-1,-9.997645336E-1,1.080447652E0
1.915556000E0,-3.381178033E-1,2.504619741E-1,-8.376130575E-1,9.373635813E-1
1.925636000E0,-2.451395461E-1,2.181151772E-1,-4.224016893E-1,5.348745785E-1
1.935716000E0,6.589673169E-2,1.244766963E-1,-1.060772810E-1,1.763213450E-1
1.945796000E0,2.268710902E-1,-1.527971005E-1,1.030349382E-1,2.922903420E-1
1.955876000E0,1.782011329E-1,-3.576455301E-1,5.310546505E-1,6.645938691E-1
1.965956000E0,6.529008307E-2,-2.911164951E-1,7.625950348E-1,8.188789873E-1
1.976036000E0,-2.576253249E-1,-1.115017247E-1,6.833471364E-1,7.387602801E-1
1.986115000E0,-4.727411728E-1,2.775673270E-2,3.998098022E-1,6.197600589E-1
1.996195000E0,-4.174318483E-1,3.912255049E-2,1.364237273E-1,4.408983503E-1
2.006275000E0,-3.300636292E-1,1.627636796E-1,-1.116315512E-1,3.845719931E-1
2.016355000E0,-2.514930575E-1,2.956714761E-1,-3.108759910E-1,4.973070094E-1
2.026435000E0,-2.675648972E-1,4.518511909E-1,-3.604703200E-1,6.369453073E-1
2.036515000E0,-3.671131224E-1,5.043404764E-1,-2.220871907E-1,6.621586525E-1
2.046595000E0,-4.537251505E-1,4.637350720E-1,-2.737531883E-1,7.041715254E-1
2.056675000E0,-5.808614527E-1,4.304211456E-1,-4.605372298E-1,8.571796369E-1
2.066755000E0,-7.054898112E-1,3.655381018E-1,-5.404476178E-1,9.609462030E-1
2.076835000E0,-7.802579384E-1,2.400825816E-1,-5.305763483E-1,9.736289631E-1
2.086915000E0,-8.352529751E-1,4.043174207E-2,-5.055876875E-1,9.771904461E-1
2.096994000E0,-8.376158349E-1,-7.589042723E-2,-5.351500038E-1,9.968676795E-1
2.107074000E0,-8.417169258E-1,-1.601833034E-1,-6.210900041E-1,1.058252743E0
2.117154000E0,-7.783809091E-1,-1.679413891E-1,-7.538499391E-1,1.096526735E0
2.127234000E0,-6.951688908E-1,-8.863034070E-2,-7.707331165E-1,1.041702770E0
2.137314000E0,-6.385613383E-1,-1.691599488E-2,-8.105772865E-1,1.032028232E0
2.147394000E0,-5.905773325E-1,-1.313693941E-2,-9.088444964E-1,1.083952251E0
2.157474000E0,-5.335265610E-1,8.144703627E-2,-9.771703076E-1,1.116309106E0
2.167554000E0,-5.645525085E-1,1.976902682E-1,-7.025241765E-1,9.226815244E-1
2.177634000E0,-6.411944126E-1,3.720302653E-1,-3.298051822E-1,8.113619730E-1
2.187714000E0,-7.211637112E-1,4.692823255E-1,-1.214550014E-1,8.689386151E-1
2.197794000E0,-7.553215371E-1,3.555446255E-1,-4.001615122E-2,8.357774210E-1
2.207873000E0,-7.418887286E-1,1.292608881E-1,1.948724949E-1,7.778705240E-1
2.217953000E0,-7.051662409E-1,-1.318371713E-2,5.035633814E-1,8.666079372E-1
2.228033000E0,-6.772287561E-1,-1.578602046E-1,7.461865783E-1,1.019976981E0
2.238113000E0,-6.505437449E-1,-8.816373289E-2,7.700069654E-1,1.011874861E0
2.248193000E0,-6.742197789E-1,2.495182335E-2,6.156580138E-1,9.133617541E-1
2.258273208E0,-5.657675964E-1,2.189758873E-1,1.173441164E-1,6.179102314E-1
2.268353208E0,-1.593056363E-1,4.690794271E-1,-6.710194516E-1,8.340748762E-1
2.278433208E0,5.785111644E-1,5.396266687E-1,-1.507888159E0,1.702820838E0
2.288513208E0,1.242436262E0,5.151192337E-1,-1.450318081E0,1.977983374E0
2.298593208E0,1.662404633E0,5.405891204E-1,-4.813638425E-1,1.813156615E0
2.308673208E0,1.970088044E0,6.253088433E-1,4.308672881E-1,2.111375066E0
2.318752208E0,2.166707395E0,6.177571642E-1,7.358628805E-1,2.370177003E0
2.328832208E0,2.300078291E0,5.207425010E-1,6.754142189E-1,2.453103598E0
2.338912208E0,2.203267549E0,4.824064010E-1,4.806500436E-1,2.306106739E0
2.348992208E0,1.774007222E0,1.080512828E-1,3.923822303E-1,1.820093547E0
2.359072208E0,8.448814389E-1,-5.580237633E-1,6.283381395E-1,1.191647592E0
2.369152208E0,-4.329000726E-2,-9.525430048E-1,4.370686989E-1,1.048923852E0
2.379232208E0,-6.710931265E-1,-1.058903857E0,-2.886770368E-2,1.253984333E0
2.389312208E0,-1.277172378E0,-1.335179535E0,-3.136763687E-1,1.874104196E0
2.399392208E0,-1.710205913E0,-1.596583403E0,-6.682478714E-1,2.433195029E0
2.409472208E0,-1.976966270E0,-1.773651127E0,-1.084426077E0,2.868834932E0
2.419551208E0,-2.013410065E0,-1.814312664E0,-1.432461708E0,3.065533735E0
2.429631208E0,-1.608723246E0,-1.754297428E0,-1.698454764E0,2.924089351E0
2.439711208E0,-7.803419191E-1,-1.841523267E0,-1.734615992E0,2.647458044E0
2.449791208E0,-3.767361045E-2,-1.901677083E0,-1.607571345E0,2.490397690E0
2.459871208E0,4.775346471E-1,-1.906974660E0,-1.169077387E0,2.287210885E0
2.469951208E0,1.036461367E0,-1.811022436E0,-6.950548701E-1,2.199353473E0
2.480031208E0,1.601675305E0,-1.525818645E0,-8.246969967E-1,2.360849732E0
2.490111208E0,1.993215244E0,-1.418340390E0,-1.187857474E0,2.719485585E0
2.500191208E0,2.033557377E0,-1.789653202E0,-1.143505905E0,2.940377517E0
2.510271208E0,1.805965618E0,-2.689650788E0,-5.774172235E-1,3.290766449E0
2.520351208E0,1.733859508E0,-3.528299387E0,-1.761111188E-1,3.935248466E0
2.530430208E0,1.740162807E0,-4.059927065E0,-2.479943030E-1,4.424101665E0
2.540510208E0,1.748669482E0,-4.134870243E0,-6.603000435E-1,4.537729943E0
2.550590208E0,1.783434249E0,-3.879458016E0,-1.168231441E0,4.426691419E0
2.560670208E0,1.849229897E0,-3.258510611E0,-1.182033063E0,3.928707774E0
2.570750208E0,1.776676915E0,-2.606269493E0,-8.139157543E-1,3.257557426E0
2.580830208E0,1.642254835E0,-1.977901386E0,-9.391540504E-1,2.736988339E0
2.590910208E0,1.502769360E0,-1.081408036E0,-1.608555870E0,2.452592725E0
2.600990208E0,1.203333154E0,8.712175906E-2,-1.718280187E0,2.099544637E0
2.611070208E0,6.549629974E-1,1.673407046E0,-1.106798401E0,2.110514243E0
2.621150208E0,6.690413386E-2,3.889411731E0,-4.365366022E-1,3.914404678E0
2.631230208E0,-3.121438135E-1,6.864763323E0,-2.296856475E-1,6.875693764E0
2.641309208E0,-6.284974761E-1,1.011595205E1,-1.721455371E-1,1.013691911E1
2.651389208E0,-1.221801438E0,1.138226951E1,2.724553987E-1,1.145089909E1
2.661469208E0,-2.145250891E0,6.766088635E0,9.118963775E-1,7.156368619E0
2.671549208E0,-2.873236110E0,-5.037341201E-1,1.063221149E0,3.104782282E0
2.681629208E0,-3.261572213E0,-3.622016221E0,1.241020944E0,5.029611097E0
2.691709208E0,-3.589444598E0,-3.981926377E0,1.889130274E0,5.684071023E0
2.701789208E0,-3.672218075E0,-2.514824887E0,2.886346737E0,5.304764584E0
2.711869208E0,-3.532082536E0,-6.747967529E-1,3.681468955E0,5.146277428E0
2.721949208E0,-3.323612925E0,5.245537162E-3,3.926086053E0,5.143985039E0
2.732029208E0,-3.129414030E0,1.067029148E-1,3.742054296E0,4.879302003E0
2.742108208E0,-2.964134001E0,2.082865924E-1,3.063592508E0,4.267911988E0
2.752188208E0,-2.646920505E0,6.350848031E-1,2.307105474E0,3.568228768E0
2.762268208E0,-2.055670231E0,1.468370921E0,1.723261138E0,3.058025868E0
2.772348208E0,-1.108469097E0,2.102372235E0,1.291560037E0,2.704958425E0
2.782428208E0,-7.662556842E-3,2.066038806E0,1.356175278E0,2.471393625E0
