"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.620609584E-1,-1.652342890E0,-1.570059264E-1,1.113265421E0,1.998561429E0
9.721399584E-1,-1.784283411E0,-1.763146019E-1,1.235328387E0,2.177335609E0
9.822189584E-1,-2.007235551E0,-1.619181722E-1,1.290765839E0,2.391921509E0
9.922989583E-1,-2.221431194E0,-1.043318689E-1,1.393476859E0,2.624389347E0
1.002377958E0,-2.414555956E0,-3.586740553E-2,1.541306165E0,2.864784744E0
1.012456958E0,-2.529526249E0,4.946510553E-2,1.688339081E0,3.041617775E0
1.022535958E0,-2.646734271E0,1.987141156E-1,1.819500314E0,3.217960689E0
1.032615958E0,-2.905234413E0,3.930410653E-1,1.918654035E0,3.503726813E0
1.042694958E0,-3.310883829E0,5.206191248E-1,1.955781369E0,3.880473781E0
1.052773958E0,-3.749515927E0,4.928892893E-1,2.056870665E0,4.304942099E0
1.062853958E0,-4.260819853E0,3.973849618E-1,2.227376350E0,4.824282955E0
1.072932958E0,-4.745888491E0,2.194500965E-1,2.316814338E0,5.285758658E0
1.083011958E0,-5.081208183E0,-1.067888689E-1,2.426049681E0,5.631678037E0
1.093091958E0,-5.201390099E0,-4.803060812E-1,2.422944664E0,5.758108521E0
1.103170958E0,-4.920913782E0,-7.323479730E-1,2.344054176E0,5.499665079E0
1.113249958E0,-4.272095624E0,-8.401776463E-1,2.125006807E0,4.844827492E0
1.123329958E0,-3.587874913E0,-9.124299359E-1,1.896305830E0,4.159489221E0
1.133408958E0,-3.146883464E0,-8.583373439E-1,1.879951168E0,3.764815390E0
1.143487958E0,-2.676090510E0,-8.162449926E-1,2.045137349E0,3.465588418E0
1.153566958E0,-2.241199168E0,-6.612674654E-1,2.080549257E0,3.128727150E0
1.163646958E0,-1.777889773E0,-1.874295741E-1,1.788632863E0,2.528879081E0
1.173725958E0,-1.374160290E0,6.465406680E-1,9.646134120E-1,1.799113774E0
1.183804958E0,-1.094257147E0,1.690076873E0,-5.429315150E-2,2.014126681E0
1.193884958E0,-8.757776879E-1,2.821703137E0,-6.120338365E-1,3.017214041E0
1.203963958E0,-6.908083297E-1,4.077283940E0,-7.834350961E-1,4.208946546E0
1.214042958E0,-7.041224398E-1,5.246456344E0,-7.584874389E-1,5.347559796E0
1.224122958E0,-8.126305363E-1,5.608412442E0,-4.172176210E-1,5.682317225E0
1.234201958E0,-1.011741970E0,6.158438968E0,2.317608243E-1,6.245294662E0
1.244280958E0,-9.167045429E-1,6.535499008E0,9.516935505E-1,6.667744380E0
1.254360958E0,-6.273493753E-1,5.235219750E0,1.265063964E0,5.422313150E0
1.264439958E0,-4.309032485E-1,3.415106648E0,2.073266550E0,4.018341102E0
1.274518958E0,-2.321217437E-1,2.302973832E0,3.150988501E0,3.909769496E0
1.284597958E0,-2.006472051E-2,1.639084475E0,3.901996109E0,4.232324910E0
